======================================================================================================================================================
MySQL SITE_MASTER vs site_url.txt URL 비교 결과
생성일시: 2025-11-12 16:12:54
======================================================================================================================================================

[전체 통계]
- 총 고유 사이트 수: 676개
- DB 레코드: 646개 (95.6% 커버리지)
- 파일 레코드: 365개 (54.0% 커버리지)
- 공통 사이트: 335개
  * URL 동일: 270개 (80.6%)
  * URL 다름: 65개 (19.4%)
- DB에만 있음: 311개
- 파일에만 있음: 30개

======================================================================================================================================================
[상세 비교 결과]
형식: 테이블URL | 파일URL | SITE_CODE | 결과
======================================================================================================================================================

■ URL 동일 (270개)
------------------------------------------------------------------------------------------------------------------------------------------------------
https://acci.korcham.net/front/board/boardContentsListPage.do?boardId=10730&menuId=9949 | https://acci.korcham.net/front/board/boardContentsListPage.do?boardId=10730&menuId=9949 | acci | 일치
https://andongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10260&menuId=2883 | https://andongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10260&menuId=2883 | andongcci | 일치
https://ansancci.korcham.net/front/board/boardContentsListPage.do?boardId=10184&menuId=2922 | https://ansancci.korcham.net/front/board/boardContentsListPage.do?boardId=10184&menuId=2922 | ansancci | 일치
https://anseongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10123&menuId=2962 | https://anseongcci.korcham.net/front/board/boardContentsListPage.do?boardId=10123&menuId=2962 | anseongcci | 일치
https://global.at.or.kr/front/bizReq/brList.do?_mtype=C&_dept1=3 | https://global.at.or.kr/front/bizReq/brList.do?_mtype=C&_dept1=3 | at | 일치
https://www.at.or.kr/article/apko364000/list.action | https://www.at.or.kr/article/apko364000/list.action | atcenter | 일치
https://www.ayventure.net/bbs/board.do?id=382&menuId=855#1 | https://www.ayventure.net/bbs/board.do?id=382&menuId=855 | ayventure | 일치
https://www.bacf.or.kr/base/board/list?boardManagementNo=2&menuLevel=2&menuNo=18 | https://www.bacf.or.kr/base/board/list?boardManagementNo=2&menuLevel=2&menuNo=18 | bacf | 일치
https://www.baroinfo.com/front/M000000742/applybusiness/list.do | https://www.baroinfo.com/front/M000000742/applybusiness/list.do | baroinfo | 일치
https://www.bcci.or.kr/kr/index.php?pCode=notice | https://www.bcci.or.kr/kr/index.php?pCode=notice | bcci | 일치
https://bizbc.or.kr/kor/contents/BC0101010000.do | https://bizbc.or.kr/kor/contents/BC0101010000.do | bizbc | 일치
https://blog.naver.com/PostList.naver?blogId=sdm_ysc&categoryNo=38&skinType=&skinId=&from=menu&userSelectMenu=true | https://blog.naver.com/PostList.naver?blogId=sdm_ysc&categoryNo=38&skinType=&skinId=&from=menu&userSelectMenu=true | blog | 일치
https://www.bsia.kr/notice | https://www.bsia.kr/notice | bsia | 일치
https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013 | https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013 | btp | 일치
https://bucheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10135&menuId=410 | https://bucheoncci.korcham.net/front/board/boardContentsListPage.do?boardId=10135&menuId=410 | bucheoncci | 일치
http://www.busanit.or.kr/board/list.asp?bcode=notice | http://www.busanit.or.kr/board/list.asp?bcode=notice | busanit | 일치
